LeaveID,EmpID,Date,Reason,LeaveDays
1,1,2024-01-24,Family Emergency,1
2,1,2024-04-05,Personal Work,3
3,1,2024-11-24,Personal Work,2
4,2,2024-01-01,Family Emergency,1
5,2,2024-04-17,Medical Leave,2
6,2,2024-09-07,Emergency Leave,3
7,2,2024-04-15,Vacation,2
8,2,2024-01-25,Sick Leave,5
9,2,2024-12-14,Vacation,1
10,2,2024-03-07,Casual Leave,5
11,2,2024-02-03,Personal Work,2
12,3,2024-06-20,Medical Leave,1
13,3,2024-12-15,Personal Work,2
14,3,2024-07-03,Vacation,2
15,3,2024-11-20,Casual Leave,5
16,3,2024-10-07,Personal Work,3
17,3,2024-01-22,Vacation,1
18,3,2024-02-28,Personal Work,1
19,4,2024-05-15,Casual Leave,3
20,4,2024-03-12,Family Emergency,1
21,4,2024-11-09,Personal Work,3
22,4,2024-10-21,Family Emergency,1
23,4,2024-03-15,Vacation,2
24,4,2024-11-23,Family Emergency,2
25,4,2024-11-11,Medical Leave,5
26,4,2024-04-27,Casual Leave,1
27,5,2024-05-03,Casual Leave,1
28,5,2024-04-21,Emergency Leave,2
29,5,2024-11-15,Vacation,1
30,5,2024-03-08,Vacation,3
31,5,2024-12-19,Emergency Leave,2
32,5,2024-06-08,Maternity/Paternity Leave,1
33,5,2024-02-25,Personal Work,1
34,5,2024-03-21,Emergency Leave,1
35,6,2024-07-13,Maternity/Paternity Leave,2
36,6,2024-09-09,Medical Leave,2
37,6,2024-11-24,Vacation,1
38,7,2024-02-10,Sick Leave,2
39,7,2024-08-01,Vacation,3
40,7,2024-09-25,Personal Work,1
41,7,2024-11-10,Family Emergency,5
42,7,2024-03-12,Sick Leave,5
43,7,2024-09-25,Medical Leave,2
44,7,2024-10-11,Medical Leave,2
45,8,2024-06-27,Vacation,5
46,8,2024-04-02,Personal Work,1
47,8,2024-02-24,Personal Work,2
48,9,2024-03-22,Sick Leave,2
49,9,2024-05-17,Emergency Leave,5
50,9,2024-04-18,Family Emergency,5
51,9,2024-12-10,Casual Leave,2
52,10,2024-09-15,Family Emergency,1
53,10,2024-04-03,Medical Leave,1
54,10,2024-10-18,Family Emergency,1
55,10,2024-01-03,Medical Leave,3
56,10,2024-04-03,Casual Leave,1
57,10,2024-02-17,Vacation,1
58,10,2024-11-16,Sick Leave,1
59,10,2024-12-19,Maternity/Paternity Leave,2
60,10,2024-04-26,Emergency Leave,2
61,11,2024-02-04,Emergency Leave,3
62,11,2024-06-14,Maternity/Paternity Leave,2
63,11,2024-12-02,Personal Work,3
64,11,2024-01-13,Casual Leave,3
65,11,2024-02-08,Family Emergency,1
66,12,2024-03-14,Vacation,1
67,12,2024-08-08,Personal Work,5
68,12,2024-08-26,Personal Work,5
69,12,2024-01-21,Medical Leave,2
70,12,2024-02-25,Family Emergency,5
71,12,2024-03-14,Maternity/Paternity Leave,2
72,12,2024-04-28,Medical Leave,2
73,12,2024-03-13,Emergency Leave,1
