PayrollID,EmpID,JobID,SalaryID,Date,Report,TotalAmount,RaiseApplied
1,1,1,1,2024-01-31,January Payroll,45408,N
2,1,1,1,2024-02-29,February Payroll,45694,N
3,1,1,1,2024-03-31,March Payroll,45279,N
4,1,1,1,2024-04-30,April Payroll,45601,N
5,1,1,1,2024-05-31,May Payroll,45208,N
6,1,1,1,2024-06-30,June Payroll,45790,N
7,1,1,1,2024-07-31,July Payroll,44604,N
8,1,1,1,2024-08-31,August Payroll,45343,N
9,1,1,1,2024-09-30,September Payroll,44491,N
10,1,1,1,2024-10-31,October Payroll,44900,N
11,1,1,1,2024-11-30,November Payroll,44525,N
12,1,1,1,2024-12-31,December Payroll,44753,N
13,2,2,2,2024-01-31,January Payroll,54708,N
14,2,2,2,2024-02-29,February Payroll,55884,N
15,2,2,2,2024-03-31,March Payroll,55319,N
16,2,2,2,2024-04-30,April Payroll,54033,N
17,2,2,2,2024-05-31,May Payroll,54507,N
18,2,2,2,2024-06-30,June Payroll,56030,N
19,2,2,2,2024-07-31,July Payroll,55988,N
20,2,2,2,2024-08-31,August Payroll,55713,N
21,2,2,2,2024-09-30,September Payroll,54102,N
22,2,2,2,2024-10-31,October Payroll,54367,N
23,2,2,2,2024-11-30,November Payroll,55307,N
24,2,2,2,2024-12-31,December Payroll,56036,N
25,3,3,3,2024-01-31,January Payroll,39401,N
26,3,3,3,2024-02-29,February Payroll,40103,N
27,3,3,3,2024-03-31,March Payroll,39310,N
28,3,3,3,2024-04-30,April Payroll,40424,N
29,3,3,3,2024-05-31,May Payroll,39531,N
30,3,3,3,2024-06-30,June Payroll,39546,N
31,3,3,3,2024-07-31,July Payroll,43610,Y
32,3,3,3,2024-08-31,August Payroll,42680,N
33,3,3,3,2024-09-30,September Payroll,42368,N
34,3,3,3,2024-10-31,October Payroll,43663,N
35,3,3,3,2024-11-30,November Payroll,42120,N
36,3,3,3,2024-12-31,December Payroll,43590,N
37,4,4,4,2024-01-31,January Payroll,48573,N
38,4,4,4,2024-02-29,February Payroll,47251,N
39,4,4,4,2024-03-31,March Payroll,48704,N
40,4,4,4,2024-04-30,April Payroll,47293,N
41,4,4,4,2024-05-31,May Payroll,47728,N
42,4,4,4,2024-06-30,June Payroll,53604,Y
43,4,4,4,2024-07-31,July Payroll,53181,N
44,4,4,4,2024-08-31,August Payroll,51967,N
45,4,4,4,2024-09-30,September Payroll,52496,N
46,4,4,4,2024-10-31,October Payroll,52202,N
47,4,4,4,2024-11-30,November Payroll,52825,N
48,4,4,4,2024-12-31,December Payroll,52174,N
49,5,5,5,2024-01-31,January Payroll,47025,N
50,5,5,5,2024-02-29,February Payroll,46265,N
51,5,5,5,2024-03-31,March Payroll,47007,N
52,5,5,5,2024-04-30,April Payroll,47837,N
53,5,5,5,2024-05-31,May Payroll,46142,N
54,5,5,5,2024-06-30,June Payroll,47532,N
55,5,5,5,2024-07-31,July Payroll,47690,N
56,5,5,5,2024-08-31,August Payroll,53052,Y
57,5,5,5,2024-09-30,September Payroll,52918,N
58,5,5,5,2024-10-31,October Payroll,53991,N
59,5,5,5,2024-11-30,November Payroll,52076,N
60,5,5,5,2024-12-31,December Payroll,52962,N
61,6,6,6,2024-01-31,January Payroll,65484,N
62,6,6,6,2024-02-29,February Payroll,64975,N
63,6,6,6,2024-03-31,March Payroll,66065,N
64,6,6,6,2024-04-30,April Payroll,63891,N
65,6,6,6,2024-05-31,May Payroll,63910,N
66,6,6,6,2024-06-30,June Payroll,65282,N
67,6,6,6,2024-07-31,July Payroll,63871,N
68,6,6,6,2024-08-31,August Payroll,64415,N
69,6,6,6,2024-09-30,September Payroll,65346,N
70,6,6,6,2024-10-31,October Payroll,65126,N
71,6,6,6,2024-11-30,November Payroll,64545,N
72,6,6,6,2024-12-31,December Payroll,66286,N
73,7,7,7,2024-01-31,January Payroll,79852,N
74,7,7,7,2024-02-29,February Payroll,80337,N
75,7,7,7,2024-03-31,March Payroll,78717,N
76,7,7,7,2024-04-30,April Payroll,80646,N
77,7,7,7,2024-05-31,May Payroll,81129,N
78,7,7,7,2024-06-30,June Payroll,80483,N
79,7,7,7,2024-07-31,July Payroll,80861,N
80,7,7,7,2024-08-31,August Payroll,80707,N
81,7,7,7,2024-09-30,September Payroll,79088,N
