SalaryID,JobID,Amount,Annual,Bonus,BonusPct
1,1,45000,540000,5000,0.93
2,2,55000,660000,7000,1.06
3,3,40000,480000,4000,0.83
4,4,48000,576000,6000,1.04
5,5,47000,564000,4500,0.8
6,6,65000,780000,10000,1.28
7,7,80000,960000,12000,1.25
8,8,42000,504000,3500,0.69
9,9,55000,660000,7000,1.06
10,10,48000,576000,5500,0.95
11,11,52000,624000,6000,0.96
12,12,90000,1080000,15000,1.39
13,13,60000,720000,8000,1.11
14,14,38000,456000,3000,0.66
15,15,55000,660000,6000,0.91
16,16,53000,636000,5500,0.86
17,17,47000,564000,4500,0.8
18,18,60000,720000,7500,1.04
19,19,95000,1140000,15000,1.32
20,20,115000,1380000,20000,1.45
21,21,95000,1140000,15000,1.32
22,22,105000,1260000,18000,1.43
23,23,85000,1020000,12000,1.18
24,24,95000,1140000,13000,1.14
25,25,72000,864000,8500,0.98
26,26,105000,1260000,15000,1.19
27,27,98000,1176000,13000,1.11
28,28,120000,1440000,20000,1.39
29,29,130000,1560000,22000,1.41
30,30,105000,1260000,15000,1.19
31,31,115000,1380000,18000,1.3
32,32,95000,1140000,14000,1.23
33,33,120000,1440000,20000,1.39
34,34,135000,1620000,25000,1.54
35,35,150000,1800000,30000,1.67
36,36,150000,1800000,28000,1.56
37,37,170000,2040000,35000,1.72
38,38,160000,1920000,33000,1.72
39,39,140000,1680000,28000,1.67
40,40,50000,600000,6000,1.0
41,41,48000,576000,5000,0.87
42,42,45000,540000,4500,0.83
43,43,32000,384000,3000,0.78
44,44,38000,456000,4000,0.88
45,45,42000,504000,3500,0.69
46,46,33000,396000,3000,0.76
47,47,35000,420000,3500,0.83
48,48,34000,408000,3200,0.78
49,49,31000,372000,3000,0.81
50,50,40000,480000,4500,0.94
51,51,42000,504000,4000,0.79
52,52,35000,420000,3500,0.83
53,53,46000,552000,5500,1.0
54,54,38000,456000,4000,0.88
55,55,44000,528000,4500,0.85
56,56,47000,564000,5000,0.89
57,57,43000,516000,4000,0.78
58,58,48000,576000,5000,0.87
59,59,45000,540000,4500,0.83
60,60,70000,840000,10000,1.19
